,['n. \xe5\x88\x86\xe8\xa7\xa3\xef\xbc\x9b\xe7\xbb\x86\xe7\x9b\xae\xe5\x88\x86\xe7\xb1\xbb']
accounting,['n. \xe4\xbc\x9a\xe8\xae\xa1\xe5\xad\xa6']
adversely,['adv. \xe7\x9b\xb8\xe5\x8f\x8d\xe5\x9c\xb0\xef\xbc\x9b\xe4\xb8\x8d\xe5\x88\xa9\xe5\x9c\xb0']
annoying,['adj. \xe6\x81\xbc\xe4\xba\xba\xe7\x9a\x84\xef\xbc\x8c\xe8\xae\xa8\xe5\x8e\x8c\xe7\x9a\x84\xef\xbc\x9b\xe4\xbd\xbf\xe4\xba\xba\xe6\x84\xa4\xe6\x80\x92\xe7\x9a\x84']
mold,['vt. \xe5\xa1\x91\xe9\x80\xa0']
check,['vt. \xe6\xa3\x80\xe6\x9f\xa5\xef\xbc\x8c\xe6\xa0\xb8\xe5\xaf\xb9\xef\xbc\x9b\xe9\x98\xbb\xe6\xad\xa2\xef\xbc\x8c\xe6\x8e\xa7\xe5\x88\xb6']
graft,['vt. \xe5\xab\x81\xe6\x8e\xa5\xef\xbc\x8c\xe6\x8e\xa5\xe6\x9e\x9d']
dimly,['adv. \xe6\x9c\xa6\xe8\x83\xa7\xe5\x9c\xb0\xef\xbc\x8c\xe6\xa8\xa1\xe7\xb3\x8a\xe5\x9c\xb0']
upheaval,['n. \xe5\x89\xa7\xe5\x8f\x98']
faithful,['n. \xe4\xbf\xa1\xe5\xbe\x92']
eventual,['adj. \xe6\x9c\x80\xe7\xbb\x88\xe7\x9a\x84']
locality,['n. \xe4\xbd\x8d\xe7\xbd\xae\xef\xbc\x8c\xe5\x9c\xb0\xe6\x96\xb9']
glacier,['n. \xe5\x86\xb0\xe5\xb7\x9d']
quota,['n. \xe9\x85\x8d\xe9\xa2\x9d\xef\xbc\x9b\xe5\xae\x9a\xe9\x87\x8f\xef\xbc\x8c\xe5\xae\x9a\xe9\xa2\x9d']
wary,['adj. \xe5\xb0\x8f\xe5\xbf\x83\xe7\xbf\xbc\xe7\xbf\xbc\xe7\x9a\x84\xef\xbc\x8c\xe6\x9c\xba\xe8\xad\xa6\xe5\xb0\x8f\xe5\xbf\x83\xe7\x9a\x84']
excel,['vi. \xe8\x83\x9c\xe8\xbf\x87\xef\xbc\x8c\xe6\x9d\xb0\xe5\x87\xba']
setting,['n. \xe8\x83\x8c\xe6\x99\xaf\xef\xbc\x8c\xe7\x8e\xaf\xe5\xa2\x83\xef\xbc\x9b\xe8\xa3\x85\xe7\xbd\xae']
role,['n. \xe8\xa7\x92\xe8\x89\xb2\xef\xbc\x8c\xe4\xbb\xbb\xe5\x8a\xa1']
tutorial,['n. \xe4\xb8\xaa\xe5\x88\xab\xe6\x8c\x87\xe5\xaf\xbc']
ambitious,['adj. \xe6\x9c\x89\xe9\x9b\x84\xe5\xbf\x83\xe7\x9a\x84\xef\xbc\x8c\xe6\xb8\xb4\xe6\x9c\x9b\xe6\x88\x90\xe5\x8a\x9f\xe7\x9a\x84']
warehouse,['n. \xe4\xbb\x93\xe5\xba\x93\xef\xbc\x8c\xe8\xb4\xa7\xe6\xa0\x88']
native to,['\xe8\xaf\x8d\xe7\xbb\x84 \xe5\x9c\x9f\xe7\x94\x9f\xe5\x9c\x9f\xe9\x95\xbf\xe7\x9a\x84']
depot,['n. \xe8\xb4\xa7\xe7\xab\x99\xef\xbc\x8c\xe4\xbb\x93\xe5\xba\x93']
erosion,['n. \xe8\x85\x90\xe8\x9a\x80\xef\xbc\x8c\xe4\xbe\xb5\xe8\x9a\x80']
kerosene,['n. \xe7\x85\xa4\xe6\xb2\xb9']
heyday,['n. \xe5\x85\xa8\xe7\x9b\x9b\xe6\x9c\x9f']
evergreen,['adj. \xe5\xb8\xb8\xe7\xbb\xbf\xe7\x9a\x84']
subsidize,['v. \xe8\xa1\xa5\xe5\x8a\xa9\xef\xbc\x8c\xe8\xb5\x84\xe5\x8a\xa9']
pack animal,['\xe8\xaf\x8d\xe7\xbb\x84 \xe8\x83\xbd\xe8\xbf\x90\xe8\xbe\x93\xe7\x9a\x84\xe5\x8a\xa8\xe7\x89\xa9']
faction,['n. \xe6\xb4\xbe\xe5\x88\xab\xef\xbc\x8c\xe5\xae\x97\xe6\xb4\xbe\xef\xbc\x8c\xe5\xb0\x8f\xe9\x9b\x86\xe5\x9b\xa2']
handicap,['n. \xe6\xae\x8b\xe7\x96\xbe']
preceding,['adj. \xe5\x9c\xa8\xe5\x89\x8d\xe7\x9a\x84']
convincing,['adj. \xe4\xbb\xa4\xe4\xba\xba\xe4\xbf\xa1\xe6\x9c\x8d\xe7\x9a\x84']
a good deal,['\xe8\xaf\x8d\xe7\xbb\x84 \xe8\xae\xb8\xe5\xa4\x9a']
diet,['n. \xe9\xa5\xae\xe9\xa3\x9f\xef\xbc\x8c\xe9\xa3\x9f\xe7\x89\xa9']
coral reef,['\xe8\xaf\x8d\xe7\xbb\x84 \xe7\x8f\x8a\xe7\x91\x9a\xe7\xa4\x81=corals']
concurrent,['adj. \xe5\xb9\xb6\xe5\x8f\x91\xe7\x9a\x84\xef\xbc\x9b\xe5\x8d\x8f\xe4\xbd\x9c\xe7\x9a\x84\xef\xbc\x8c\xe4\xb8\x80\xe8\x87\xb4\xe7\x9a\x84']
scale,['vt. \xe6\x94\x80\xe7\x99\xbb']
suburb,['n. \xe9\x83\x8a\xe5\x8c\xba']
reign,['n./vi. \xe7\xbb\x9f\xe6\xb2\xbb\xef\xbc\x8c\xe6\x94\xaf\xe9\x85\x8d']
violent,['adj. \xe6\x9a\xb4\xe5\x8a\x9b\xe5\xbc\x95\xe8\xb5\xb7\xe7\x9a\x84\xef\xbc\x8c\xe6\x9a\xb4\xe7\x83\x88\xe7\x9a\x84']
fruitlessly,['adv. \xe5\xbe\x92\xe5\x8a\xb3\xe5\x9c\xb0']
variable,"['n. [\xe6\x95\xb0]\xe5\x8f\x98\xe6\x95\xb0, \xe5\x8f\x98\xe9\x87\x8f']"
discharge,['vt. \xe9\x87\x8a\xe6\x94\xbe\xef\xbc\x9b\xe6\x8e\x92\xe5\x87\xba']
tendency,['n. \xe8\xb6\x8b\xe5\x8a\xbf\xef\xbc\x8c\xe5\x80\xbe\xe5\x90\x91']
congested,['adj. \xe5\xa0\xb5\xe5\xa1\x9e\xe7\x9a\x84\xef\xbc\x9b\xe6\x8b\xa5\xe6\x8c\xa4\xe7\x9a\x84']
billion,['n./adj. \xe5\x8d\x81\xe4\xba\xbf\xef\xbc\x88\xe7\x9a\x84\xef\xbc\x89']
meteorologist,['n. \xe6\xb0\x94\xe8\xb1\xa1\xe5\xad\xa6\xe8\x80\x85']
meteor,['n. \xe6\xb5\x81\xe6\x98\x9f']
regime,['n. \xe6\x94\xbf\xe6\x9d\x83\xef\xbc\x8c\xe6\x94\xbf\xe4\xbd\x93\xef\xbc\x9b\xe6\x94\xbf\xe6\xb2\xbb\xe5\x88\xb6\xe5\xba\xa6']
shade,['n. \xe9\x98\xb4\xef\xbc\x8c\xe9\x98\xb4\xe5\x87\x89\xe5\xa4\x84\xef\xbc\x9b\xe9\x98\xb4\xe5\xbd\xb1']
apology,['n. \xe9\x81\x93\xe6\xad\x89\xef\xbc\x8c\xe6\xad\x89\xe6\x84\x8f']
tapeworm,['n. [\xe5\x8a\xa8]\xe7\xbb\xa6\xe8\x99\xab']
assume,['vt. \xe5\x81\x87\xe5\xae\x9a\xef\xbc\x8c\xe8\xae\xbe\xe6\x83\xb3']
painting,['n. \xe7\xbb\x98\xe7\x94\xbb\xef\xbc\x8c\xe6\xb2\xb9\xe7\x94\xbb']
interval,['n. \xe9\x97\xb4\xe9\x9a\x94\xe6\x97\xb6\xe9\x97\xb4']
urbanize,['vt. \xe4\xbd\xbf\xe9\x83\xbd\xe5\xb8\x82\xe5\x8c\x96\xef\xbc\x8c\xe4\xbd\xbf\xe6\x96\x87\xe9\x9b\x85']
cohesion,['n. \xe9\x99\x84\xe7\x9d\x80\xef\xbc\x88\xe5\x8a\x9b\xef\xbc\x89\xef\xbc\x8c\xe5\x87\x9d\xe8\x81\x9a\xe5\x8a\x9b']
gorilla,['n. \xe5\xa4\xa7\xe7\x8c\xa9\xe7\x8c\xa9']
reversible,['adj. \xe5\x8f\xaf\xe9\x80\x86\xe7\x9a\x84\xef\xbc\x8c\xe5\x8f\xaf\xe7\xbf\xbb\xe8\xbd\xac\xe7\x9a\x84']
videocassette,['n. \xe5\xbd\x95\xe5\x83\x8f\xe5\xb8\xa6']
reception,['n. \xe6\x8e\xa5\xe5\xbe\x85\xef\xbc\x9b\xe6\x8b\x9b\xe5\xbe\x85\xe4\xbc\x9a']
fasten,['vt. \xe4\xbd\xbf\xe5\x9b\xba\xe5\xae\x9a\xef\xbc\x8c\xe7\xb3\xbb']
intimacy,['n. \xe4\xba\xb2\xe5\xaf\x86\xef\xbc\x8c\xe7\x86\x9f\xe6\x82\x89']
precedent,['n. \xe5\x85\x88\xe4\xbe\x8b']
overdue,['adj. \xe8\xbf\x9f\xe5\x88\xb0\xe7\x9a\x84\xef\xbc\x9b\xe9\x80\xbe\xe6\x9c\x9f\xe7\x9a\x84']
slope,['n. \xe6\x96\x9c\xe5\x9d\xa1\xef\xbc\x8c\xe6\x96\x9c\xe9\x9d\xa2']
irrigation,['n. \xe7\x81\x8c\xe6\xba\x89']
concept,['n. \xe6\xa6\x82\xe5\xbf\xb5\xef\xbc\x8c\xe8\xa7\x82\xe5\xbf\xb5']
corps,['n. \xe5\x86\x9b\xe5\x9b\xa2\xef\xbc\x8c\xe5\x85\xb5\xe5\x9b\xa2']
diplomacy,['n. \xe5\xa4\x96\xe4\xba\xa4\xef\xbc\x8c\xe4\xba\xa4\xe9\x99\x85\xe6\x89\x8b\xe8\x85\x95']
skip,['v. \xe8\xb7\xb3']
luminosity,['n. \xe4\xba\xae\xe5\xba\xa6\xef\xbc\x8c\xe5\x8f\x91\xe5\x85\x89\xe5\xba\xa6']
global,['adj. \xe5\x85\xa8\xe7\x90\x83\xe6\x80\xa7\xe7\x9a\x84']
rod,['n. \xe6\x9d\x86\xef\xbc\x9b\xe6\x9e\x9d']
emerging,['adj. \xe6\xad\xa3\xe5\x9c\xa8\xe4\xb8\x8d\xe6\x96\xad\xe5\x87\xba\xe7\x8e\xb0\xe7\x9a\x84']
livelihood,['n. \xe7\x94\x9f\xe8\xae\xa1\xef\xbc\x8c\xe8\xb0\x8b\xe7\x94\x9f']
avalanche,['n. \xe9\x9b\xaa\xe5\xb4\xa9']
supplement,['vt. \xe5\xa2\x9e\xe8\xa1\xa5\xef\xbc\x8c\xe8\xa1\xa5\xe5\x85\x85']
venturesome,['adj. \xe5\xa5\xbd\xe5\x86\x92\xe9\x99\xa9\xe7\x9a\x84\xef\xbc\x9b\xef\xbc\x88\xe8\xa1\x8c\xe4\xb8\xba\xef\xbc\x89\xe5\x86\x92\xe9\x99\xa9\xe7\x9a\x84']
computation,['n. \xe8\xae\xa1\xe7\xae\x97\xef\xbc\x8c\xe4\xbc\xb0\xe8\xae\xa1']
gyration,['n. \xe6\x97\x8b\xe8\xbd\xac']
remarkably,['adv. \xe6\x98\xbe\xe8\x91\x97\xe5\x9c\xb0\xef\xbc\x8c\xe5\xbc\x95\xe4\xba\xba\xe6\xb3\xa8\xe7\x9b\xae\xe5\x9c\xb0']
abundant,['adj. \xe4\xb8\xb0\xe5\xaf\x8c\xe7\x9a\x84\xef\xbc\x8c\xe5\x85\x85\xe8\xa3\x95\xe7\x9a\x84\xef\xbc\x9b\xe5\xa4\xa7\xe9\x87\x8f\xe7\x9a\x84']
slothful,['adj. \xe8\xbf\x9f\xe9\x92\x9d\xe7\x9a\x84\xef\xbc\x8c\xe6\x87\x92\xe6\x83\xb0\xe7\x9a\x84']
discern,['vt. \xe7\x9c\x8b\xe5\x87\xba\xef\xbc\x9b\xe5\xaf\x9f\xe8\xa7\x89\xe5\x88\xb0']
ballet,['n. \xe8\x8a\xad\xe8\x95\xbe\xe8\x88\x9e']
anticipation,['n. \xe6\x9c\x9f\xe6\x9c\x9b\xef\xbc\x8c\xe9\xa2\x84\xe6\x96\x99']
clarification,['n. \xe6\xbe\x84\xe6\xb8\x85\xef\xbc\x8c\xe5\x87\x80\xe5\x8c\x96']
zone,['n. \xe5\x8c\xba\xe5\x9f\x9f\xef\xbc\x9b\xe5\x9c\xb0\xe5\xb8\xa6']
educable,['adj. \xe5\x8f\xaf\xe6\x95\x99\xe8\x82\xb2\xe7\x9a\x84\xef\xbc\x8c\xe5\x8f\xaf\xe5\x9f\xb9\xe5\x85\xbb\xe7\x9a\x84']
cast away,['\xe8\xaf\x8d\xe7\xbb\x84 \xe4\xbd\xbf\xe5\xa4\xb1\xe4\xba\x8b\xef\xbc\x8c\xe4\xbd\xbf\xe6\xbc\x82\xe6\xb5\x81']
graph,['n. \xe5\x9b\xbe\xe8\xa1\xa8']
hump,['n. \xe9\xa9\xbc\xe8\x83\x8c\xef\xbc\x9b\xe5\xb3\xb0\xef\xbc\x8c\xe5\x9c\x86\xe5\xbd\xa2\xe9\x9a\x86\xe8\xb5\xb7\xe4\xb9\x8b\xe7\x89\xa9']
flash,['n./vi. \xe9\x97\xaa\xe5\x85\x89\xef\xbc\x9b\xe9\x97\xaa\xe7\x8e\xb0']
withstand,['vt. \xe6\x89\xbf\xe5\x8f\x97\xef\xbc\x8c\xe6\x8a\xb5\xe4\xbd\x8f']
methodically,['adv. \xe6\x9c\x89\xe6\x9d\xa1\xe7\x90\x86\xe5\x9c\xb0\xef\xbc\x9b\xe4\xba\x95\xe7\x84\xb6\xe5\x9c\xb0']
crater,['n. \xe7\x81\xab\xe5\xb1\xb1\xe5\x8f\xa3\xef\xbc\x9b\xe5\xbc\xb9\xe5\x9d\x91']
amaze,['vt. \xe4\xbd\xbf\xe5\x90\x83\xe6\x83\x8a\xef\xbc\x8c\xe4\xbd\xbf\xe6\x83\x8a\xe5\x8f\xb9']
compensate,['vt. \xe8\xa1\xa5\xe5\x81\xbf\xef\xbc\x8c\xe8\xb5\x94\xe5\x81\xbf']
staple,['n. \xe4\xb8\xbb\xe8\xa6\x81\xe4\xba\xa7\xe5\x93\x81\xef\xbc\x8c\xe6\x97\xa5\xe5\xb8\xb8\xe5\xbf\x85\xe9\x9c\x80\xe5\x93\x81']
weathering,['n. \xe4\xbe\xb5\xe8\x9a\x80\xef\xbc\x8c\xe9\xa3\x8e\xe5\x8c\x96']
rhythm,['n. \xe8\x8a\x82\xe5\xa5\x8f\xef\xbc\x8c\xe9\x9f\xb5\xe5\xbe\x8b']
gourmand,['n. \xe5\x97\x9c\xe9\xa3\x9f\xe8\x80\x85']
analogous,['adj. \xe7\xb1\xbb\xe4\xbc\xbc\xe7\x9a\x84']
outmoded,['adj. \xe4\xb8\x8d\xe5\x86\x8d\xe6\xb5\x81\xe8\xa1\x8c\xe7\x9a\x84\xef\xbc\x8c\xe8\xbf\x87\xe6\x97\xb6\xe7\x9a\x84']
oversight,"['n. \xe5\x8b\x98\xe6\xbc\x8f, \xe5\xa4\xb1\xe5\xaf\x9f, \xe7\x96\x8f\xe5\xbf\xbd']"
periphery,['n. \xe5\xa4\x96\xe5\x9b\xb4']
persevere,['vi. \xe5\x9d\x9a\xe6\x8c\x81\xe4\xb8\x8d\xe6\x87\x88\xef\xbc\x8c\xe4\xb8\x8d\xe5\xb1\x88\xe4\xb8\x8d\xe6\x8c\xa0']
brown,['n./adj. \xe8\xa4\x90\xe8\x89\xb2\xef\xbc\x88\xe7\x9a\x84\xef\xbc\x89\xef\xbc\x8c\xe6\xa3\x95\xe8\x89\xb2\xef\xbc\x88\xe7\x9a\x84\xef\xbc\x89']
telegraph,['n. \xe7\x94\xb5\xe6\x8a\xa5\xe6\x9c\xba\xef\xbc\x9b\xe7\x94\xb5\xe6\x8a\xa5']
permissive,['adj. \xe8\xae\xb8\xe5\x8f\xaf\xe7\x9a\x84\xef\xbc\x8c\xe5\xae\xbd\xe5\xae\xb9\xe7\x9a\x84']
exalted,['adj. \xe5\xb4\x87\xe9\xab\x98\xe7\x9a\x84\xef\xbc\x8c\xe9\xab\x98\xe8\xb4\xb5\xe7\x9a\x84']
terminate,['v. \xe5\x81\x9c\xe6\xad\xa2\xef\xbc\x8c\xe7\xbb\x93\xe6\x9d\x9f']
stickpin,['n. \xe9\xa2\x86\xe5\xb8\xa6\xe5\xa4\xb9']
seemingly,['adv. \xe8\xa1\xa8\xe9\x9d\xa2\xe4\xb8\x8a\xef\xbc\x8c\xe4\xbc\xbc\xe4\xb9\x8e']
falconer,['n. \xe5\x85\xbb\xe7\x8c\x8e\xe9\xb9\xb0\xe8\x80\x85\xef\xbc\x8c\xe6\x94\xbe\xe9\xb9\xb0\xe7\x8b\xa9\xe7\x8c\x8e\xe4\xba\xba']
plagiarism,['n. \xe5\x89\xbd\xe7\xaa\x83\xef\xbc\x8c\xe6\x8a\x84\xe8\xa2\xad']
plumber,['n. \xe6\xb0\xb4\xe7\xae\xa1\xe5\xb7\xa5\xe4\xba\xba']
bustle,['n. \xe5\x96\xa7\xe9\x97\xb9\xef\xbc\x8c\xe5\x8c\x86\xe5\x8c\x86\xe5\xbf\x99\xe5\xbf\x99']
anonymous,['adj. \xe5\x8c\xbf\xe5\x90\x8d\xe7\x9a\x84']
blast,['vi. \xe7\x88\x86\xe7\xa0\xb4']
exact,['adj. \xe7\xb2\xbe\xe7\xa1\xae\xe7\x9a\x84\xef\xbc\x8c\xe5\x87\x86\xe7\xa1\xae\xe5\x9c\xb0']
feeble,['adj. \xe5\xbe\xae\xe5\xbc\xb1\xe7\x9a\x84\xef\xbc\x9b\xe8\xa1\xb0\xe5\xbc\xb1\xe7\x9a\x84']
minute,['adj. \xe5\xbe\xae\xe5\xb0\x8f\xe7\x9a\x84']
stiffen,['vt. \xe4\xbd\xbf\xe7\xa1\xac\xef\xbc\x8c\xe4\xbd\xbf\xe5\x83\xb5\xe7\xa1\xac']
dim,['adj. \xe6\x9a\x97\xe6\xb7\xa1\xe7\x9a\x84\xef\xbc\x8c\xe6\xa8\xa1\xe7\xb3\x8a\xe7\x9a\x84']
prod,['vt. \xe6\x88\xb3\xef\xbc\x8c\xe5\x88\xba']
impressive,['adj. \xe7\xbb\x99\xe4\xba\xba\xe6\xb7\xb1\xe5\x88\xbb\xe5\x8d\xb0\xe8\xb1\xa1\xe7\x9a\x84\xef\xbc\x9b\xe5\xa8\x81\xe4\xb8\xa5\xe7\x9a\x84']
trespass,['vt. \xe4\xbe\xb5\xe7\x8a\xaf\xef\xbc\x8c\xe9\x97\xaf\xe5\x85\xa5\xe7\xa7\x81\xe4\xba\xba\xe9\xa2\x86\xe5\x9c\xb0']
seclusion,['n. \xe7\x8b\xac\xe5\xa4\x84\xef\xbc\x8c\xe9\x9a\x90\xe5\xb1\x85']
economize,['vi. \xe8\x8a\x82\xe7\xba\xa6\xef\xbc\x8c\xe8\x8a\x82\xe7\x9c\x81']
fragile,['adj. \xe6\x98\x93\xe7\xa2\x8e\xe7\x9a\x84\xef\xbc\x8c\xe8\x84\x86\xe7\x9a\x84\xef\xbc\x9b\xe8\x84\x86\xe5\xbc\xb1\xe7\x9a\x84']
accidentally,['adv. \xe6\x84\x8f\xe5\xa4\x96\xe5\x9c\xb0\xef\xbc\x8c\xe5\x81\xb6\xe7\x84\xb6\xe5\x9c\xb0']
souvenir,['n. \xe7\xba\xaa\xe5\xbf\xb5\xe5\x93\x81']
temple,['n. \xe5\xaf\xba\xe5\xba\x99\xef\xbc\x8c\xe6\x95\x99\xe5\xa0\x82']
crustacean,['n. \xe7\x94\xb2\xe5\xa3\xb3\xe5\x8a\xa8\xe7\x89\xa9']
humanistic,['adj. \xe4\xba\xba\xe6\x80\xa7\xe7\x9a\x84\xef\xbc\x9b\xe4\xba\xba\xe6\x96\x87\xe4\xb8\xbb\xe4\xb9\x89\xe7\x9a\x84']
brownish,['adj. \xe6\x88\x90\xe8\xa4\x90\xe8\x89\xb2\xe7\x9a\x84']
progress,['n./vi. \xe5\x89\x8d\xe8\xbf\x9b\xef\xbc\x8c\xe5\x8f\x91\xe5\xb1\x95']
burgeon,['vi. \xe8\xbf\x85\xe9\x80\x9f\xe6\x88\x90\xe9\x95\xbf\xef\xbc\x8c\xe5\x8f\x91\xe5\xb1\x95']
accumulation,['n. \xe7\xa7\xaf\xe8\x81\x9a']
anesthetic,['n. \xe9\xba\xbb\xe9\x86\x89\xe5\x89\x82\xef\xbc\x8c\xe9\xba\xbb\xe8\x8d\xaf']
distasteful,['adj. \xef\xbc\x88\xe4\xbb\xa4\xe4\xba\xba\xef\xbc\x89\xe4\xb8\x8d\xe6\x84\x89\xe5\xbf\xab\xe7\x9a\x84\xef\xbc\x8c\xe8\xae\xa8\xe5\x8e\x8c\xe7\x9a\x84']
spiritual,['adj. \xe7\xb2\xbe\xe7\xa5\x9e\xe4\xb8\x8a\xe7\x9a\x84']
revolution,['n. \xe9\x9d\xa9\xe5\x91\xbd']
invader,['n. \xe4\xbe\xb5\xe7\x95\xa5\xe8\x80\x85']
occurrence,['n. \xe4\xba\x8b\xe4\xbb\xb6\xef\xbc\x9b\xe5\x8f\x91\xe7\x94\x9f']
palatable,['adj. \xe7\xbe\x8e\xe5\x91\xb3\xe7\x9a\x84']
seasoning,['n. \xe8\xb0\x83\xe5\x91\xb3\xe5\x93\x81\xef\xbc\x8c\xe8\xb0\x83\xe6\x96\x99']
gasoline,['n. \xe6\xb1\xbd\xe6\xb2\xb9']
refreshment,['n. \xe8\x8c\xb6\xe7\x82\xb9\xef\xbc\x9b\xe6\x8f\x90\xe7\xa5\x9e\xe4\xb9\x8b\xe4\xba\x8b\xe7\x89\xa9']
pore,['n. \xe5\xb0\x8f\xe5\xad\x94\xef\xbc\x8c\xe6\xb0\x94\xe5\xad\x94']
prediction,['n. \xe9\xa2\x84\xe8\xa8\x80\xef\xbc\x8c\xe9\xa2\x84\xe6\x8a\xa5']
overhaul,['v. \xe5\xbd\xbb\xe5\xba\x95\xe6\xa3\x80\xe6\x9f\xa5\xef\xbc\x8c\xe5\xa4\xa7\xe4\xbf\xae']
professionalism,['n. \xe8\x81\x8c\xe4\xb8\x9a\xe6\xb0\xb4\xe5\x87\x86\xe6\x88\x96\xe7\x89\xb9\xe6\x80\xa7; \xe8\x81\x8c\xe4\xb8\x9a\xe5\x8c\x96']
journalistic,['adj. \xe6\x96\xb0\xe9\x97\xbb\xe4\xba\x8b\xe4\xb8\x9a\xe7\x9a\x84\xef\xbc\x8c\xe6\x96\xb0\xe9\x97\xbb\xe5\xb7\xa5\xe4\xbd\x9c\xe7\x9a\x84']
recycle,['vt. \xe4\xbd\xbf\xe5\x86\x8d\xe5\xbe\xaa\xe7\x8e\xaf\xef\xbc\x8c\xe5\x86\x8d\xe5\x88\xa9\xe7\x94\xa8']
wear out,['\xe8\xaf\x8d\xe7\xbb\x84 \xe7\x94\xa8\xe5\x9d\x8f\xef\xbc\x8c\xe7\xa3\xa8\xe6\x8d\x9f']
helpless,['adj. \xe6\x97\xa0\xe5\x8a\xa9\xe7\x9a\x84\xef\xbc\x8c\xe6\x97\xa0\xe4\xbe\x9d\xe9\x9d\xa0\xe7\x9a\x84']
substitute,['vt. \xe4\xbb\xa3\xe6\x9b\xbf']
speck,['n. \xe6\x96\x91\xe7\x82\xb9']
cargo,['n. \xe8\xb4\xa7\xe7\x89\xa9']
kinetic,['adj. \xe8\xbf\x90\xe5\x8a\xa8\xe7\x9a\x84\xef\xbc\x9b\xe5\x8a\xa8\xe5\x8a\x9b\xe5\xad\xa6\xe7\x9a\x84']
sentimentalism,['n. \xe6\x84\x9f\xe6\x83\x85\xe4\xb8\xbb\xe6\x84\x8f\xef\xbc\x8c\xe6\x84\x9f\xe6\x83\x85\xe7\x94\xa8\xe4\xba\x8b']
constitution,['n. \xe7\xbb\x84\xe7\xbb\x87\xef\xbc\x9b\xe5\xae\xaa\xe6\xb3\x95']
urbanism,"['n. \xe9\x83\xbd\xe5\xb8\x82\xe7\x94\x9f\xe6\xb4\xbb, \xe9\x83\xbd\xe5\xb8\x82\xe5\x8c\x96']"
trivial,['adj. \xe5\xbe\xae\xe4\xb8\x8d\xe8\xb6\xb3\xe9\x81\x93\xe7\x9a\x84\xef\xbc\x8c\xe7\x90\x90\xe7\xa2\x8e\xe7\x9a\x84']
assistance,['n. \xe5\x8d\x8f\xe5\x8a\xa9\xef\xbc\x8c\xe6\x8f\xb4\xe5\x8a\xa9']
celebrated,['adj. \xe6\x9c\x89\xe5\x90\x8d\xe7\x9a\x84\xef\xbc\x8c\xe5\xa4\xa7\xe5\x90\x8d\xe9\xbc\x8e\xe9\xbc\x8e\xe7\x9a\x84']
theist,['n. \xe6\x9c\x89\xe7\xa5\x9e\xe8\xae\xba\xe8\x80\x85']
steep,['adj. \xe9\x99\xa9\xe5\xb3\xbb\xe7\x9a\x84\xef\xbc\x8c\xe9\x99\xa1\xe5\xb3\xad\xe7\x9a\x84']
Ford,['n. \xe7\xa6\x8f\xe7\x89\xb9\xe6\xb1\xbd\xe8\xbd\xa6\xe5\x85\xac\xe5\x8f\xb8']
current,['n. \xef\xbc\x88\xe6\xb6\xb2\xe4\xbd\x93\xe3\x80\x81\xe6\xb0\x94\xe4\xbd\x93\xef\xbc\x89\xe6\xb5\x81\xef\xbc\x8c\xe8\xb6\x8b\xe5\x8a\xbf']
transcontinental,['adj. \xe6\xa8\xaa\xe8\xb4\xaf\xe5\xa4\xa7\xe9\x99\x86\xe7\x9a\x84\xef\xbc\x8c\xe5\xa4\xa7\xe9\x99\x86\xe9\x82\xa3\xe8\xbe\xb9\xe7\x9a\x84']
suspect,['adj. \xe4\xbb\xa4\xe4\xba\xba\xe6\x80\x80\xe7\x96\x91\xe7\x9a\x84\xef\xbc\x8c\xe4\xb8\x8d\xe5\x8f\xaf\xe4\xbf\xa1\xe7\x9a\x84']
long-standing,['adj. \xe9\x95\xbf\xe6\x9c\x9f\xe5\xad\x98\xe5\x9c\xa8\xe7\x9a\x84']
time-consuming,['adj. \xe8\xb4\xb9\xe6\x97\xb6\xe9\x97\xb4\xe7\x9a\x84']
unrestricted,"['adj. \xe6\x97\xa0\xe9\x99\x90\xe5\x88\xb6\xe7\x9a\x84, \xe8\x87\xaa\xe7\x94\xb1\xe7\x9a\x84']"
appeal,['n. \xe5\x90\xb8\xe5\xbc\x95\xe5\x8a\x9b']
boost,['vt. \xe5\xa2\x9e\xe5\x8a\xa0\xef\xbc\x8c\xe6\x8f\x90\xe9\xab\x98\xef\xbc\x8c\xe4\xbf\x83\xe8\xbf\x9b']
corn,['n. \xe7\x8e\x89\xe7\xb1\xb3\xef\xbc\x8c\xe8\xb0\xb7\xe7\xb1\xbb']
pose,['vt. \xe5\xbd\xa2\xe6\x88\x90\xef\xbc\x8c\xe5\xbc\x95\xe8\xb5\xb7']
jury,['n. \xe9\x99\xaa\xe5\xae\xa1\xe5\x9b\xa2']
dwarf,['n. \xe4\xbe\x8f\xe5\x84\x92']
dweller,['n. \xe5\xb1\x85\xe4\xbd\x8f\xe8\x80\x85\xef\xbc\x8c\xe5\xb1\x85\xe6\xb0\x91']
take account of,['\xe8\xaf\x8d\xe7\xbb\x84 \xe8\x80\x83\xe8\x99\x91\xe5\x88\xb0\xef\xbc\x9b\xe4\xbd\x93\xe8\xb0\x85']
makeup,['n. \xe7\xbb\x84\xe6\x88\x90\xef\xbc\x8c\xe7\xbb\x93\xe6\x9e\x84']
pedagogic,['adj. \xe6\x95\x99\xe8\x82\xb2\xe5\xad\xa6\xe7\x9a\x84']
